2016-12-27T08:21:12+0000,A Letter to Donald Trump About Health Care,By DAVID LEONHARDT,You support universal coverage. You should be skeptical of Republicans who do not.
2016-12-26T14:36:36+0000,Analysis: GOP Vexed by Factions on Replacing Health Law,By THE ASSOCIATED PRESS,"Republicans are united on repealing President Barack Obama's health care law, but ideologically and practically speaking, they're in different camps over replacing it. Getting the factions together won't be easy."
2016-12-26T12:00:03+0000,Could ‘Repeal and Delay’ of Obamacare Affect the Birthrate?,By AARON E. CARROLL and AUSTIN FRAKT,One possibility: Some women might put off getting pregnant as long as there’s a chance that they could lose their insurance.
2016-12-23T09:09:29+0000,"Equity, Macro Hedge Funds Look to Bounce Back From a Tough Year",By REUTERS,"For some equity funds and those betting on macroeconomic trends, which together make up a large chunk of the $3 trillion global hedge fund industry's assets, 2016 has been another year to forget."
2016-12-23T08:21:03+0000,"Populism, Real and Phony",By PAUL KRUGMAN,The movement that’s about to take power in the U.S. isn’t the same as Europe’s far-right movements.
2016-12-23T00:04:13+0000,New Mexico Health Exchange Wrote Letter in Governor's Name,By THE ASSOCIATED PRESS,A letter praising President Barack Obama's health care law circulated widely in recent days and was purported to be sent by New Mexico Gov. Susana Martinez. But the Republican governor did not write the letter or know about it.
2016-12-22T20:42:30+0000,Democrats Lean on Drug Pricing as Obamacare Repeal Looms,By REUTERS,Democrats are showing little interest in cooperating with the Republicans who control Congress on legislation to dismantle the Obamacare health insurance law but some are signaling a willingness to collaborate on action to curb rising drug prices.
2016-12-22T12:00:04+0000,The 12.11.16 Issue,NA,Readers respond.
2016-12-22T02:39:36+0000,10 Things to Know for Thursday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Wednesday:"
2016-12-21T23:06:30+0000,Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump on Wednesday named Peter Navarro, an economist who has pushed a hard line on China, to head a newly formed White House National Trade Council, the transition team said in a statement."
2016-12-21T22:57:29+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"U.S. President-elect Donald Trump on Wednesday named Peter Navarro, an economist who has pushed a hard line on China, to head a newly formed White House National Trade Council, the transition team said in a statement."
2016-12-21T21:03:29+0000,U.S. Says 6.4 Million Signed Up for Obamacare From November 1: Dec. 19,By REUTERS,"Roughly 6.4 million consumers signed up for Obamacare insurance on Healthcare.gov from Nov. 1 to Dec. 19 indicating ""clear demand for quality, affordable coverage,"" the U.S. government said on Wednesday."
2016-12-21T20:33:44+0000,'Obamacare' Holding Its Own: 6.4M Signed Up So Far,By THE ASSOCIATED PRESS,"""Obamacare"" seems to be holding its own. The administration said Wednesday that 6.4 million people have enrolled for subsidized private coverage through HealthCare.gov, ahead of last year's pace."
2016-12-21T17:16:04+0000,Democratic Governors Warn Congress on Health Care Repeal,By THE ASSOCIATED PRESS,Democratic governors Wednesday warned top Republicans in Congress that repealing the Obama health care law would stick states with billions of dollars in costs for providing medical care to residents made newly uninsured.
2016-12-21T08:21:02+0000,Trump Is Going After Health Care. Will Democrats Push Back?,By THEDA SKOCPOL,"Republicans plan to slash health care spending. That will hurt their own voters, and the left should take advantage."
2016-12-20T18:06:28+0000,Democrats Seek Trump's Cooperation on Drug Price Reform,By REUTERS,"A group of Democratic senators took their plans to tackle rising drug costs to President-elect Donald Trump on Tuesday, asking him to work with them and Republicans on the issue."
2016-12-19T17:54:29+0000,Factbox: Trump Fills Top Jobs for His Administration,By REUTERS,"President-elect Donald Trump will nominate high-frequency trading expert Vincent Viola to be secretary of the Army, a senior transition official said on Monday."
2016-12-19T15:39:30+0000,Reality TV Populism,By PAUL KRUGMAN,
2016-12-18T18:51:31+0000,Will Fiscal Policy Really Be Expansionary?,By PAUL KRUGMAN,
